"Source","Target","Source.level","Target.level","Label","Parent.Label","Colour","DSource","Unit","GEO","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010"
"Domestic Input","Electricity and heat generation","Availability","Processing","Gaseos fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",89862.628176,81836.113896,72781.740216,67937.780088,76966.36308,87808.249152,97687.924848,106739.032824
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Gaseos fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",4.103064,5.777784,6.028992,6.950088,3.516912,2.009664,2.679552,6.782616
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Heat","Heat","#a6d854","nrg_bal_sd","kt","EU27_2020",2.331335844e-05,2.335857588e-05,2.236756032e-05,2.081216412e-05,2.121535296e-05,2.208913812e-05,2.038427316e-05,2.500650036e-05
"Refinery, direct carry over and other","Exports","Processing","Backflows","Heat","Heat","#a6d854","nrg_bal_sd","kt","EU27_2020",2.0934e-08,2.135268e-08,2.260872e-08,2.135268e-08,2.428344e-08,3.391308e-08,3.34944e-08,3.726252e-08
"Domestic Input","Material industry","Availability","Processing","Heat","Heat","#a6d854","nrg_bal_sd","kt","EU27_2020",6.59295396e-05,6.669614268e-05,6.507375768e-05,6.579221256e-05,6.949208772e-05,7.010042976e-05,6.731830116e-05,6.583031244e-05
"Electricity and heat generation","Residential housing and other energy","Processing","Services","Heat","Heat","#a6d854","nrg_bal_sd","kt","EU27_2020",0.00013283167284,0.0001311912846,0.00012513047292,0.00012193175772,0.00013419028944,0.00013358697156,0.00013134242808,0.0001502412246
"Imports","Domestic Input","Sourcing","Availability","Heat","Heat","#a6d854","nrg_bal_sd","kt","EU27_2020",2.595816e-08,2.428344e-08,2.595816e-08,2.428344e-08,1.88406e-08,1.758456e-08,1.67472e-08,1.925928e-08
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Heat","Heat","#a6d854","nrg_bal_sd","kt","EU27_2020",1.880166276e-05,1.881506052e-05,1.801035756e-05,1.810204848e-05,1.98747396e-05,2.001164796e-05,2.241989532e-05,2.065306572e-05
"Domestic Extraction","Domestic Input","Sourcing","Availability","Heat","Heat","#a6d854","nrg_bal_sd","kt","EU27_2020",4.74029496e-06,4.5615186e-06,4.17884508e-06,3.63958524e-06,3.44448036e-06,3.15768456e-06,2.9035458e-06,2.97765216e-06
"Domestic Input","Electricity and heat generation","Availability","Processing","Heat","Heat","#a6d854","nrg_bal_sd","kt","EU27_2020",8.06000868e-06,7.76902608e-06,7.49772144e-06,7.00284168e-06,6.82322796e-06,6.35639976e-06,5.67143928e-06,5.79369384e-06
"Domestic Extraction","Domestic Input","Sourcing","Availability","Nuclear","Nuclear","#e78ac3","nrg_bal_sd","kt","EU27_2020",0.00081600271452,0.00082502066304,0.00085319322156,0.00087489926748,0.0008646328152,0.00087241356432,0.00090161021412,0.00091950794676
"Domestic Input","Electricity and heat generation","Availability","Processing","Nuclear","Nuclear","#e78ac3","nrg_bal_sd","kt","EU27_2020",0.00081600271452,0.00082502066304,0.00085319322156,0.00087489926748,0.0008646328152,0.00087241356432,0.00090161021412,0.00091950794676
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",29.1807272727273,22.8370909090909,24.5937902097902,14.2487832167832,23.0322797202797,45.966965034965,35.133986013986,51.6274405594406
"Refinery, direct carry over and other","Exports","Processing","Backflows","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",351623.371888112,345335.559524476,335000.995132867,304093.530041958,302681.436587413,300679.872923077,279246.48234965,281458.361958042
"Domestic Input","Material industry","Availability","Processing","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",22228.1018181818,23537.525958042,24094.0092587413,23355.609986014,24184.6744615385,26488.0976223776,28076.2513846154,29995.4453706294
"Refinery, direct carry over and other","Consumables","Processing","Services","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",76342.0526433567,70953.5727272727,71100.0619300699,73383.0878601399,72028.7702937063,74969.9728951049,78430.8657062937,81241.2918041958
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",58855.1846433567,59235.9004195804,60732.5106293706,59656.9226853147,66217.8041958042,65308.6147132867,66295.5869370629,73157.7423776224
"Refinery, direct carry over and other","Transport","Processing","Services","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",256334.146153846,252073.467188811,245873.197006993,242392.785314685,239670.779748252,241950.585062937,252053.850713287,254210.882265734
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",230915.000055944,229096.718685315,222145.654741259,204912.62979021,216548.810769231,203250.889846154,210276.125538462,206078.882937063
"Imports","Domestic Input","Sourcing","Availability","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",856759.620755245,842489.854741259,837267.18772028,786477.692727273,790960.203776224,799839.928363636,798806.306013986,818464.844727273
"Refinery, direct carry over and other","Transport","Processing","Services","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",41114.6687832168,40539.6425454546,39336.5963076923,38877.5122237762,40043.374993007,42441.171944056,45415.947020979,45596.5942657343
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",25464.6250909091,26559.0487552448,26443.496979021,24810.3521958042,25372.9839440559,27112.6042237762,28306.866965035,29849.5417342657
"Domestic Extraction","Domestic Input","Sourcing","Availability","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",25473.2133986014,25725.4949370629,28586.8653146853,29483.9530909091,29686.3638881119,30535.240027972,31569.9359160839,33077.1839160839
"Recovery","Domestic Input","Backflows","Availability","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",1073.34327272727,1130.14321678322,1053.43401398601,1251.64825174825,1067.48760839161,1048.35910489511,942.37158041958,868.882993006993
"Refinery, direct carry over and other","Stocks","Processing","Services","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",1619.87194405594,1778.17006993007,12313.6813426573,1226.17611188811,3842.58453146853,1432.68587412587,670.180783216783,668.033706293706
"Stocks","Domestic Input","Services","Availability","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",9535.07102097902,3782.66156643357,523.886769230769,1994.34167832168,3489.68316083916,3543.26248951049,6149.61868531469,1979.11695104895
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",26.7408671328671,45.478993006993,231.786713286713,383.155636363636,432.440811188811,452.154881118881,652.516195804196,693.798629370629
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",389.401678321678,346.850517482517,436.344587412587,609.18427972028,738.008895104895,748.74427972028,884.888475524476,841.849342657343
"Domestic Input","Electricity and heat generation","Availability","Processing","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",15366.6295384615,16113.4219300699,16443.8765874126,15971.2268811189,16347.9412867133,19768.0396363636,20575.6333426573,22772.2882237762
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Liquid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",679319.81613986,662740.673706294,662760.192587413,633867.856783217,625249.977986014,648589.192111888,645669.362685315,661813.624447552
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Bioenergy solid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",0.83736,0.41868,3.1401,0.62802,0.41868,0.83736,0.41868,6.69888
"Refinery, direct carry over and other","Exports","Processing","Backflows","Bioenergy solid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",9172.44144,9234.19674,9142.29648,8674.84026,7839.99234,6857.9784,6070.65066,5459.37786
"Domestic Input","Material industry","Availability","Processing","Bioenergy solid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",42857.75952,42625.18278,41002.16976,39437.35326,38973.66516,38379.13956,39515.0184,39576.7737
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Bioenergy solid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",94399.7796,93271.437,94388.05656,90691.94952,102691.10898,101086.51788,89903.57508,100432.9584
"Refinery, direct carry over and other","Transport","Processing","Services","Bioenergy solid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",0.20934,0.41868,0.20934,0.62802,0.62802,0,0,0
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Bioenergy solid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",146486.92104,145202.62014,144750.2364,139578.91038,150171.93306,147044.6028,136481.51574,146090.0124
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Bioenergy solid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",55.68444,47.52018,84.36402,618.18102,609.80742,559.77516,602.48052,587.82672
