"Source","Target","Source.level","Target.level","Label","Parent.Label","Colour","DSource","Unit","GEO","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010"
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",49.1416779661017,62.2697796610169,85.5100677966102,87.4615423728814,69.3660508474576,64.7534745762712,73.269,91.0096779661017
"Refinery, direct carry over and other","Exports","Processing","Backflows","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",25748.9974067797,29749.6976949153,30222.4867627119,33105.3469322034,34127.7422033898,31763.4420508475,30891.8425423729,36057.750559322
"Domestic Input","Material industry","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",23681.1439830508,23325.2659830508,23332.3622542373,22758.2739152542,23333.6041016949,24718.6188305085,26660.6908474576,23927.2071864407
"Refinery, direct carry over and other","Consumables","Processing","Services","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",3096.81274576271,3186.58057627119,3079.78169491525,3077.47540677966,3066.12137288136,2907.51971186441,2961.80618644068,2484.58194915254
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",19520.0679661017,19575.4188813559,19186.3658135593,19369.2722033898,21609.7424237288,22328.2398813559,22228.1824576271,25500.0956949153
"Refinery, direct carry over and other","Transport","Processing","Services","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",2.48369491525424,2.1288813559322,2.1288813559322,2.1288813559322,0.887033898305085,0.887033898305085,0.887033898305085,0.887033898305085
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",50076.6116949153,55113.0127627119,54762.1021525424,56646.1621525424,60519.3069661017,70180.5253728814,67548.5183898305,73802.817
"Imports","Domestic Input","Sourcing","Availability","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",193682.787254237,193583.439457627,200523.060457627,204510.810050847,203847.308694915,207824.946101695,210727.675830508,202427.877050847
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",1200.33427118644,1210.62386440678,1285.31211864407,1388.9176779661,1462.1866779661,2154.25052542373,2017.46989830508,1955.55493220339
"Domestic Extraction","Domestic Input","Sourcing","Availability","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",228603.892576271,231164.049813559,248837.31320339,253929.065186441,264608.421101695,278948.033694915,278320.545915254,273717.37220339
"Recovery","Domestic Input","Backflows","Availability","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",849.955881355932,786.976474576271,883.308355932203,1487.91066101695,1202.28574576271,1252.31445762712,1255.33037288136,1161.48218644068
"Refinery, direct carry over and other","Stocks","Processing","Services","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",286.15713559322,98.8155762711864,732.867406779661,2057.38642372881,826.538186440678,10308.0435254237,3484.44655932203,6246.84752542373
"Stocks","Domestic Input","Services","Availability","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",3181.08096610169,15104.945440678,7691.29352542373,1200.68908474576,12393.992440678,8441.90161016949,2399.78150847458,13705.9155762712
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",54218.8825932203,52943.8600677966,52648.477779661,53738.642440678,52103.4841525424,52565.4514067797,53258.0474745763,54608.2904745763
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",6754.05350847458,6952.57169491525,7494.19459322034,7578.64022033898,7321.57779661017,7016.61554237288,6947.42689830509,6488.83037288136
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",61514.9138135593,61719.8186440678,61116.4581864407,61031.6577457627,61333.9588983051,63439.5999661017,65623.4774237288,66302.9453898305
"Domestic Input","Electricity and heat generation","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",279013.49679661,287479.880542373,307350.504305085,306702.969559322,324090.253220339,333311.857627119,324611.474338983,315993.940016949
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",1246.63744067797,1522.32757627119,1389.80471186441,1519.13425423729,1374.72513559322,1568.09852542373,1600.56396610169,1590.09696610169
"Refinery, direct carry over and other","Exports","Processing","Backflows","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",76.4091,60.49926,59.24322,60.49926,95.66838,58.19652,53.3817,0
"Domestic Input","Material industry","Availability","Processing","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",8310.16998,8302.4244,7364.16252,7216.36848,6812.13294,6184.53162,6287.5269,5234.33736
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",435.63654,395.44326,390.4191,436.4739,437.72994,332.22258,339.54948,532.7703
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",8926.04826,8893.8099,7958.47878,7867.20654,7483.48632,6696.15858,6831.18288,5915.32038
"Imports","Domestic Input","Sourcing","Availability","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",1036.44234,979.92054,886.97358,767.44044,723.06036,506.6028,378.9054,108.01944
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",96.71508,132.30288,144.86328,153.65556,130.00014,115.137,143.3979,144.23526
"Domestic Extraction","Domestic Input","Sourcing","Availability","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",27838.66122,27728.33904,25670.10816,25445.69568,24364.66392,23550.54066,23425.77402,22246.77114
"Domestic Input","Electricity and heat generation","Availability","Processing","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","kt","EU27_2020",19950.31134,19817.1711,18601.11504,18357.65262,17610.93684,17364.33432,16975.17126,16440.5169
"Refinery, direct carry over and other","Exports","Processing","Backflows","Municipal waste","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",172.49616,141.93252,144.4446,141.93252,144.86328,147.79404,125.604,0
"Domestic Input","Material industry","Availability","Processing","Municipal waste","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",2894.33484,2398.61772,2324.09268,2129.40648,2130.66252,1394.2044,1202.03028,648.954
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Municipal waste","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",679.51764,597.87504,530.46756,651.0474,728.08452,651.88476,675.74952,1050.8868
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Municipal waste","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",3779.84304,3172.75704,3073.52988,2959.64892,3022.8696,2210.6304,2003.80248,1755.10656
"Imports","Domestic Input","Sourcing","Availability","Municipal waste","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",1935.13896,1851.40296,1598.10156,1421.83728,1343.12544,909.79164,434.58984,147.37536
"Domestic Extraction","Domestic Input","Sourcing","Availability","Municipal waste","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",38062.1988,36902.03652,36231.72984,35821.00476,34807.79916,32809.8582,31496.87772,30871.78848
"Domestic Input","Electricity and heat generation","Availability","Processing","Municipal waste","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",36221.26284,35581.10112,34757.13888,34283.6118,33128.055,31509.01944,29927.66508,29264.05728
